,Unnamed: 0,value,variable,layer,rs,n_samples,scaling
12,12,31.07529274282704,ENSD,3,8,1000,2.0
13,13,43.85316556262817,PR Pre,3,8,1000,2.0
14,14,34.80710967596778,PR Post,3,8,1000,2.0
15,15,0.0204143968100349,Overlap,3,8,1000,2.0
16,16,39.13633085030013,ENSD,4,8,1000,2.0
17,17,55.76008805636342,PR Pre,4,8,1000,2.0
18,18,44.22427115301048,PR Post,4,8,1000,2.0
19,19,0.0159110069895784,Overlap,4,8,1000,2.0
20,20,46.63642304314584,ENSD,5,8,1000,2.0
21,21,67.9599239341863,PR Pre,5,8,1000,2.0
22,22,52.27438719278288,PR Post,5,8,1000,2.0
23,23,0.0131629287886122,Overlap,5,8,1000,2.0
24,24,46.59105566974358,ENSD,6,8,1000,2.0
25,25,72.5744506750555,PR Pre,6,8,1000,2.0
26,26,53.29006155476079,PR Post,6,8,1000,2.0
27,27,0.0120731267767647,Overlap,6,8,1000,2.0
28,28,41.26046026140789,ENSD,7,8,1000,2.0
29,29,73.30827508107946,PR Pre,7,8,1000,2.0
30,30,48.16055773650419,PR Post,7,8,1000,2.0
31,31,0.0117053464055061,Overlap,7,8,1000,2.0
0,0,2.067209318387832,ENSD,0,15,1000,1.0
1,1,2.03582844069536,PR Pre,0,15,1000,1.0
2,2,2.460084519926834,PR Post,0,15,1000,1.0
3,3,0.4131136188904444,Overlap,0,15,1000,1.0
4,4,9.920946477145048,ENSD,1,15,1000,1.0
5,5,13.95049571710625,PR Pre,1,15,1000,1.0
6,6,10.666178411207763,PR Post,1,15,1000,1.0
7,7,0.0689580937226613,Overlap,1,15,1000,1.0
8,8,10.06519716415672,ENSD,2,15,1000,1.0
9,9,17.606975728862334,PR Pre,2,15,1000,1.0
10,10,13.008205015566672,PR Post,2,15,1000,1.0
11,11,0.0452825451890627,Overlap,2,15,1000,1.0
12,12,6.645884705676662,ENSD,3,15,1000,1.0
13,13,21.217100583948977,PR Pre,3,15,1000,1.0
14,14,9.869900806537236,PR Post,3,15,1000,1.0
15,15,0.0324630389610926,Overlap,3,15,1000,1.0
16,16,4.440092731504736,ENSD,4,15,1000,1.0
17,17,23.37582700968694,PR Pre,4,15,1000,1.0
18,18,7.330887762861935,PR Post,4,15,1000,1.0
19,19,0.0263568637892603,Overlap,4,15,1000,1.0
20,20,3.3507480196410637,ENSD,5,15,1000,1.0
21,21,25.30607422761329,PR Pre,5,15,1000,1.0
22,22,5.936122522409396,PR Post,5,15,1000,1.0
23,23,0.022709923175474,Overlap,5,15,1000,1.0
24,24,3.2213110598553105,ENSD,6,15,1000,1.0
25,25,25.196247659609245,PR Pre,6,15,1000,1.0
26,26,5.756993819735847,PR Post,6,15,1000,1.0
27,27,0.0226119390378395,Overlap,6,15,1000,1.0
28,28,3.058872997265459,ENSD,7,15,1000,1.0
29,29,24.953093758329164,PR Pre,7,15,1000,1.0
30,30,5.5245509974249005,PR Post,7,15,1000,1.0
31,31,0.0225887314106027,Overlap,7,15,1000,1.0
0,0,0.7435246876333425,ENSD,0,15,1000,0.25
1,1,2.0358285123783584,PR Pre,0,15,1000,0.25
2,2,3.160266639549487,PR Post,0,15,1000,0.25
3,3,0.125182041277488,Overlap,0,15,1000,0.25
4,4,0.0503309851642991,ENSD,1,15,1000,0.25
5,5,1.8644452110590093,PR Pre,1,15,1000,0.25
6,6,1.5245734018907064,PR Post,1,15,1000,0.25
7,7,0.0180139074412484,Overlap,1,15,1000,0.25
8,8,0.0205371656308424,ENSD,2,15,1000,0.25
9,9,1.7663555306768328,PR Pre,2,15,1000,0.25
10,10,1.3100029916823783,PR Post,2,15,1000,0.25
11,11,0.0089971534907817,Overlap,2,15,1000,0.25
12,12,0.0204297020302195,ENSD,3,15,1000,0.25
13,13,1.7433859227041597,PR Pre,3,15,1000,0.25
14,14,1.3013823416956385,PR Post,3,15,1000,0.25
15,15,0.0090984629932791,Overlap,3,15,1000,0.25
