,train,valid,rs,mode,n_samples,scaling,train_aux
0,1.0,0.895,7,finetuning,100,0.5,
0,1.0,0.5,40,finetuning,100,1.0,
0,1.0,0.84,46,finetuning,1000,2.0,
0,1.0,0.695,42,finetuning,200,0.125,
0,1.0,0.785,45,finetuning,10,0.125,
0,1.0,0.965,22,finetuning,500,0.125,
0,0.996,0.89,11,finetuning,500,2.0,
0,1.0,0.5,17,finetuning,10,2.0,
0,1.0,0.675,45,singletask,100,,
0,1.0,0.845,43,finetuning,50,0.125,
0,1.0,0.905,5,finetuning,500,1.0,
0,1.0,0.77,42,finetuning,500,0.5,
0,1.0,0.51,37,finetuning,50,0.125,
0,1.0,0.65,18,finetuning,10,1.0,
0,1.0,0.73,27,finetuning,500,0.5,
0,1.0,0.95,30,finetuning,50,0.25,
0,1.0,0.76,24,singletask,500,,
0,1.0,0.81,31,finetuning,10,0.125,
0,1.0,0.44,13,finetuning,50,2.0,
0,1.0,0.64,36,finetuning,200,0.125,
0,1.0,0.445,14,finetuning,50,2.0,
0,1.0,0.765,10,finetuning,10,0.25,
0,1.0,0.81,25,finetuning,100,0.25,
0,1.0,0.535,39,singletask,100,,
0,1.0,0.8,39,finetuning,500,0.25,
0,1.0,0.515,44,finetuning,20,0.25,
0,1.0,0.915,23,finetuning,500,0.25,
0,1.0,0.47,39,finetuning,20,0.5,
0,1.0,0.775,21,finetuning,20,0.25,
0,1.0,0.58,31,finetuning,100,2.0,
0,1.0,0.96,18,finetuning,500,0.125,
0,1.0,0.925,9,finetuning,500,0.125,
0,1.0,0.58,10,finetuning,10,2.0,
0,1.0,0.905,15,multitask,1000,,0.12710204081632653
0,1.0,0.625,36,finetuning,200,0.5,
0,1.0,0.72,13,multitask,20,,0.012816326530612245
0,1.0,0.81,46,finetuning,20,0.125,
0,1.0,0.435,18,finetuning,20,2.0,
0,1.0,0.99,0,finetuning,1000,0.5,
0,1.0,0.53,27,multitask,50,,0.03369387755102041
0,1.0,0.555,35,finetuning,50,0.5,
0,1.0,0.965,11,finetuning,1000,0.5,
0,1.0,0.555,17,finetuning,20,1.0,
0,1.0,0.635,28,finetuning,20,0.125,
0,1.0,0.955,13,finetuning,1000,0.25,
0,1.0,0.94,2,finetuning,1000,0.25,
0,1.0,0.52,32,finetuning,20,0.125,
0,1.0,0.505,31,finetuning,10,0.5,
0,1.0,0.74,27,finetuning,200,0.25,
0,0.999,0.86,33,finetuning,1000,2.0,
0,1.0,0.57,35,finetuning,100,1.0,
0,1.0,0.895,29,finetuning,1000,2.0,
0,1.0,0.82,30,multitask,20,,0.016244897959183675
0,1.0,0.85,31,singletask,500,,
0,1.0,0.89,49,singletask,1000,,
0,1.0,0.535,34,finetuning,10,2.0,
0,1.0,0.595,25,singletask,10,,
0,1.0,0.865,20,finetuning,200,0.125,
0,1.0,0.91,0,finetuning,10,0.25,
0,1.0,0.79,40,finetuning,500,0.125,
0,1.0,0.895,49,finetuning,200,0.25,
0,1.0,0.885,21,finetuning,1000,1.0,
0,1.0,0.5,27,singletask,50,,
0,1.0,0.575,30,finetuning,50,2.0,
0,1.0,0.895,17,finetuning,1000,0.125,
0,1.0,0.85,47,finetuning,1000,2.0,
0,1.0,0.89,15,multitask,500,,0.08663265306122449
0,1.0,0.87,45,finetuning,50,0.25,
0,1.0,0.56,33,finetuning,20,1.0,
0,1.0,0.515,44,finetuning,10,0.125,
0,1.0,0.5,15,finetuning,10,0.5,
0,1.0,0.555,24,multitask,10,,0.013285714285714286
0,1.0,0.785,42,multitask,1000,,0.09393877551020408
0,1.0,0.715,44,multitask,500,,0.09514285714285714
